0,26
0,30
0,42
1,91
1,95
1,98
1,125
1,140
1,168
1,171
1,182
1,195
1,199
1,213
1,229
1,230
1,237
1,247
1,257
1,283
1,304
2,365
2,367
2,397
3,503
3,512
3,528
3,546
3,557
3,562
3,564
3,572
3,587
3,620
4,658
5,700
6,738
6,757
7,839
7,849
8,907
9,974
9,994
9,1014
10,1056
11,1092
11,1123
12,1172
12,1188
13,1256
14,1324
15,1404
16,1443
17,1491
17,1492
17,1495
17,1505
18,1554
18,1561
19,1632
20,1667
20,1699
20,1729
20,1732
20,1760
20,1761
20,1774
20,1776
20,1781
20,1796
20,1799
20,1816
20,1821
20,1833
20,1838
20,1839
20,1848
20,1852
20,1854
20,1857
20,1873
20,1876
20,1890
20,1892
20,1894
20,1896
20,1897
20,1911
20,1922
20,1924
20,1925
20,1927
20,1940
20,1951
20,1962
20,1965
20,1981
20,1982
20,1984
20,1987
